Resource ID(s),Unique Identifier,Item Title,Subject,Description,Ancillary Materials,Date,Date Type,Physical Format,Storage Location,Duration Physical,Condition,Contributor,Publisher,Written notes on casing,Preservation Checksum Value,Preservation Filename,Preservation File Location,Preservation Filesize,Digital QC notes,Digitization Grant,Digitization Vendor,Preservation Sample Rate,Preservation Bit Depth,Proxy Filename,Duration Digital,Identifier2,IdentifierSource2
16590,CD-2529,wroteTheMiddlesteins,Fiction,,,2013-08-08,unknown,CD,KBOO Archives Room,00:29:00,,Jami Attenberg,,,,,,,,,,,,,,,
16588,CD-2527,"Steven Wax, AndyWorthington on Guantanamo","War/Peace, Prison",,,2013-08-07,unknown,CD,KBOO Archives Room,00:58:19,,Brian Willson,,,,,,,,,,,,,,,
16587,CD-2526,CD-2526 title,War/Peace,on militarism & violence,,2013-08-06,unknown,CD,KBOO Archives Room,00:59:00,,Dennis Kucinich,,,,,,,,,,,,,,,
16589,CD-2528,photographer,Arts/Culture,,,2013-07-30,unknown,CD,KBOO Archives Room,00:29:00,,Holly Andres,,,,,,,,,,,,,,,
16583,CD-2522,of Prepare portland on personal safety,Law/Courts/Crime,,,2013-07-12,unknown,CD,KBOO Archives Room,00:57:00,,Lia Nagase,,,,,,,,,,,,,,,
16580,CD-2519,pilot hurt by AgentOrange in Vietnam,"War/Peace, Health, Environment/Climate",,,2013-07-12,unknown,CD,KBOO Archives Room,00:57:00,,Wes Carter,,,,,,,,,,,,,,,
16582,CD-2521,pruning and espalliering,Agriculture,,,2013-07-10,unknown,CD,KBOO Archives Room,00:57:00,,Jim Gilbert,,,,,,,,,,,,,,,
16585,CD-2524,wroteTempleGrove-env vs logger vs nativeAms,Fiction,,,2013-06-19,unknown,CD,KBOO Archives Room,00:29:01,,Scott Elliot,,,,,,,,,,,,,,,
18502,MD-225,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-05-07,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18501,MD-224,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-05-06,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
18500,MD-223,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-05-02,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
16570,CD-2509,wrote 'Cha-Ching',Fiction,,,2013-05-02,unknown,CD,KBOO Archives Room,00:24:09,,Ali Liebgott,,,,,,,,,,,,,,,
18499,MD-222,KBOO AM news and public affairs,,"Broadcast air signal recorded by Kathleen Stephenson, AM News and Public Affairs Director",,2013-05-01,broadcast,Minidisc,KBOO Archives Room,,,,KBOO,,,,,,,,,,,,,,
